# Book of the day pool: one "CATEGORY | Title | Author" per line. scripts/update_picks.py
# picks one at random each day and fetches the cover from Open Library. Add or remove freely;
# blank lines and lines starting with # are ignored.

SCI-FI | Dune | Frank Herbert
CLASSIC | The Count of Monte Cristo | Alexandre Dumas
CLASSIC | Frankenstein | Mary Shelley
CLASSIC | The Old Man and the Sea | Ernest Hemingway
CLASSIC | Siddhartha | Hermann Hesse
CLASSIC | The Stranger | Albert Camus
CLASSIC | Fight Club | Chuck Palahniuk
CLASSIC | The Road | Cormac McCarthy
CLASSIC | Slaughterhouse-Five | Kurt Vonnegut
CLASSIC | Catch-22 | Joseph Heller
CLASSIC | Lord of the Flies | William Golding
CLASSIC | Musashi | Eiji Yoshikawa
CLASSIC | Shogun | James Clavell
CLASSIC | Kafka on the Shore | Haruki Murakami
CLASSIC | No Longer Human | Osamu Dazai
MINDSET | Meditations | Marcus Aurelius
MINDSET | Man's Search for Meaning | Viktor E. Frankl
MINDSET | Atomic Habits | James Clear
MINDSET | Deep Work | Cal Newport
MINDSET | Can't Hurt Me | David Goggins
MINDSET | The Art of War | Sun Tzu
MINDSET | The Book of Five Rings | Miyamoto Musashi
MINDSET | The Obstacle Is the Way | Ryan Holiday
MINDSET | Mastery | Robert Greene
MINDSET | Range | David Epstein
MINDSET | Ikigai | Hector Garcia
MINDSET | Born to Run | Christopher McDougall
MINDSET | Endure | Alex Hutchinson
MINDSET | Outlive | Peter Attia
SCIENCE | Thinking, Fast and Slow | Daniel Kahneman
SCIENCE | Sapiens | Yuval Noah Harari
SCIENCE | A Brief History of Time | Stephen Hawking
SCIENCE | Cosmos | Carl Sagan
SCIENCE | Pale Blue Dot | Carl Sagan
SCIENCE | Surely You're Joking, Mr. Feynman! | Richard P. Feynman
SCIENCE | An Astronaut's Guide to Life on Earth | Chris Hadfield
SCIENCE | Endurance: A Year in Space | Scott Kelly
SCIENCE | The Right Stuff | Tom Wolfe
SCIENCE | Why We Sleep | Matthew Walker
BUILDER | The Pragmatic Programmer | Andrew Hunt
BUILDER | Designing Data-Intensive Applications | Martin Kleppmann
BUILDER | Code: The Hidden Language of Computer Hardware and Software | Charles Petzold
BUILDER | The Mythical Man-Month | Frederick P. Brooks
BUILDER | Shoe Dog | Phil Knight
BUILDER | Zero to One | Peter Thiel
BUILDER | The Hard Thing About Hard Things | Ben Horowitz
BUILDER | Steve Jobs | Walter Isaacson
